NAME,WIDTH,DIMENSION_NAMES,TYPE,DEFAULT_VALUE,,,,,,,,,,,,,,,,,,,,,
psta_mon,0,nrain;nmonths,2,1,,,,,,,,,,,,,,,,,,,,,
psta_xlong,0,nrain,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
psta_ylat,0,nrain,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
psta_elev,0,nrain,2,CALCULATED,,,,,,,,,,,,,,,,,,,,,
snowpack_init,0,nhru,2,0.01,,,,,,,,,,,,,,,,,,,,,
segment_flow_init,0,nsegment,2,0.01,,,,,,,,,,,,,,,,,,,,,
obsin_segment,0,nsegment,1,0,,,,,,,,,,,,,,,,,,,,,
conv_flag,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
dprst_flag,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
moyrsum,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
pmo,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
rad_conv,0,one,2,0,,,,,,,,,,,,,,,,,,,,,
solrad_elev,0,one,2,0,,,,,,,,,,,,,,,,,,,,,
adjust_rain,0,nmonths,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
adjust_snow,0,nmonths,2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,,,,,,
rain_code,0,nmonths,1,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,
ssr_gwres,0,nssr,1,1,,,,,,,,,,,,,,,,,,,,,
ssrcoef_lin,0,nssr,2,0.05,,,,,,,,,,,,,,,,,,,,,
ssrcoef_sq,0,nssr,2,0.014975338,,,,,,,,,,,,,,,,,,,,,
ssrmax_coef,0,nssr,2,1,,,,,,,,,,,,,,,,,,,,,
HRU_ID,0,nhru,1,HRU_ID,,,,,,,,,,,,,,,,,,,,,
hru_lat,0,nhru,2,HRU_LAT,,,,,,,,,,,,,,,,,,,,,
hru_aspect,0,nhru,1,HRU_ASPECT,,,,,,,,,,,,,,,,,,,,,
hru_radpl,0,nradpl,1,HRU_ID,,,,,,,,,,,,,,,,,,,,,
hru_slope,0,nhru,2,HRU_SLP_P,,,,,,,,,,,,,,,,,,,,,
tmax_adj,0,nhru,2,0,,,,,,,,,,,,,,,,,,,,,
tmin_adj,0,nhru,2,0,,,,,,,,,,,,,,,,,,,,,
hru_gwres,0,nhru,1,1,,,,,,,,,,,,,,,,,,,,,
hru_solsta,0,nhru,1,0,,,,,,,,,,,,,,,,,,,,,
hru_ssres,0,nhru,1,1,,,,,,,,,,,,,,,,,,,,,
basin_solsta,0,one,1,0,,,,,,,,,,,,,,,,,,,,,
hru_x,0,nhru,2,HRU_X,,,,,,,,,,,,,,,,,,,,,
hru_y,0,nhru,2,HRU_Y,,,,,,,,,,,,,,,,,,,,,
